ano,sigla_uf,produto,area_plantada,area_colhida,quantidade_produzida,perdas,valor_producao
2010,AC,Café (em grão) Total,1271,1003,1029,279.84699999999992,2777
2010,AL,Café (em grão) Total,5,5,2,0.0,1
2010,AM,Café (em grão) Total,2432,2048,3902,758.988,8804
2010,AP,Café (em grão) Total,,,,,
2010,BA,Café (em grão) Total,152056,152056,153262,-9.437000000000527,560050
2010,CE,Café (em grão) Total,7432,7432,3224,-3.8800000000000021,12025
2010,DF,Café (em grão) Total,1000,935,1052,73.0,3156
2010,ES,Café (em grão) Total,473183,473183,616722,-111.22799999999341,1812702
2010,GO,Café (em grão) Total,10026,10026,22835,-0.84600000000042774,73756
2010,MA,Café (em grão) Total,,,,,
2010,MG,Café (em grão) Total,1026613,1026613,1504188,-202.12100000000379,6980674
2010,MS,Café (em grão) Total,1253,1253,1502,-0.23599999999997934,5695
2010,MT,Café (em grão) Total,15186,15186,12182,-7.373000000000026,27101
2010,PA,Café (em grão) Total,11201,11201,11951,-1.2089999999988397,37162
2010,PB,Café (em grão) Total,,,,,
2010,PE,Café (em grão) Total,3873,3873,1924,-0.041999999999998927,6687
2010,PI,Café (em grão) Total,,,,,
2010,PR,Café (em grão) Total,82673,82673,139054,-35.6150000000034,571777
2010,RJ,Café (em grão) Total,12940,12940,15012,-1.1649999999994352,53012
2010,RN,Café (em grão) Total,,,,,
2010,RO,Café (em grão) Total,156606,156606,141160,-53.445999999998385,317392
2010,RR,Café (em grão) Total,,,,,
2010,RS,Café (em grão) Total,,,,,
2010,SC,Café (em grão) Total,,,,,
2010,SE,Café (em grão) Total,,,,,
2010,SP,Café (em grão) Total,204074,202752,278264,1109.8969999999981,1107604
2010,TO,Café (em grão) Total,,,,,
2011,AC,Café (em grão) Total,1194,1194,1374,-0.036000000000006693,4515
2011,AL,Café (em grão) Total,,,,,
2011,AM,Café (em grão) Total,1940,1716,2543,286.001,5773
2011,AP,Café (em grão) Total,,,,,
2011,BA,Café (em grão) Total,153804,153804,151742,-3.3409999999976923,838352
