ano,sigla_uf,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,tipo_emissao,gas,atividade_economica,produto,emissao
2010,AC,Agropecuária,Cultivo do Arroz,Diretas,Outros,Vegetal,Arroz,Emissão,CH4 (t),AGR,ALIM_BEBIDAS,0.0
2010,AC,Agropecuária,Cultivo do Arroz,Diretas,Outros,Vegetal,Arroz,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,0.0
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Algodão,Emissão,CH4 (t),AGR,,0.0
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Algodão,Emissão,CO (t),AGR,,0.0
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Algodão,Emissão,CO2e (t) GWP-AR5,AGR,,0.0
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Algodão,Emissão,N2O (t),AGR,,0.0
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Algodão,Emissão,NOX (t),AGR,,0.0
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Cana de Açucar,Emissão,CH4 (t),AGR,ALIM_BEBIDAS,41.930851
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Cana de Açucar,Emissão,CO (t),AGR,ALIM_BEBIDAS,1428.7549
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Cana de Açucar,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,1462.1443
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Cana de Açucar,Emissão,N2O (t),AGR,ALIM_BEBIDAS,1.0870961
2010,AC,Agropecuária,Queima de Resíduos Agrícolas,Diretas,Outros,Vegetal,Cana de Açucar,Emissão,NOX (t),AGR,ALIM_BEBIDAS,38.824862
2010,AC,Agropecuária,Solos Manejados,Diretas,Fertilizantes Sintéticos,Outros,Fertilizantes Sintéticos,Emissão,CO2e (t) GWP-AR5,AGR,,696.102
2010,AC,Agropecuária,Solos Manejados,Diretas,Fertilizantes Sintéticos,Outros,Fertilizantes Sintéticos,Emissão,N2O (t),AGR,,2.6268
2010,AC,Agropecuária,Solos Manejados,Diretas,Resíduos Agrícolas,Vegetal,Arroz,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,785.95233
2010,AC,Agropecuária,Solos Manejados,Diretas,Resíduos Agrícolas,Vegetal,Cana de Açucar,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,95.104073
2010,AC,Agropecuária,Solos Manejados,Diretas,Resíduos Agrícolas,Vegetal,Feijão,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,601.17728
2010,AC,Agropecuária,Solos Manejados,Diretas,Resíduos Agrícolas,Vegetal,Mandioca,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,24619.186
2010,AC,Agropecuária,Solos Manejados,Diretas,Resíduos Agrícolas,Vegetal,Milho,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,3503.4082
2010,AC,Agropecuária,Solos Manejados,Diretas,Resíduos Agrícolas,Vegetal,Outras Culturas,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,273.00124
2010,AC,Agropecuária,Solos Manejados,Diretas,Resíduos Agrícolas,Vegetal,Soja,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,21.304994
2010,AC,Agropecuária,Solos Manejados,Diretas,Solos orgânicos,Outros,Solos orgânicos,Emissão,CO2e (t) GWP-AR5,AGR,ALIM_BEBIDAS,0.0
2010,AC,Agropecuária,Solos Manejados,Diretas,Solos orgânicos,Outros,Solos orgânicos,Emissão,N2O (t),AGR,ALIM_BEBIDAS,0.0
2010,AC,Agropecuária,Solos Manejados,Indiretas,Deposição Atmosférica,Outros,Fertilizantes Sintéticos,Emissão,CO2e (t) GWP-AR5,AGR,,177.8733
2010,AC,Agropecuária,Solos Manejados,Indiretas,Deposição Atmosférica,Outros,Fertilizantes Sintéticos,Emissão,N2O (t),AGR,,0.67122
2010,AC,Agropecuária,Solos Manejados,Indiretas,Lixiviação,Outros,Fertilizantes Sintéticos,Emissão,CO2e (t) GWP-AR5,AGR,,655.875
2010,AC,Agropecuária,Solos Manejados,Indiretas,Lixiviação,Outros,Fertilizantes Sintéticos,Emissão,N2O (t),AGR,,2.475
2010,AL,Agropecuária,Cultivo do Arroz,Diretas,Outros,Vegetal,Arroz,Emissão,CH4 (t),AGR,ALIM_BEBIDAS,751.98
